old_id	new_id
1	6181
2	6182
3	6183
4	6184
5	6185
6	6186
7	6187
8	6188
9	6189
11	6190
12	6191
13	6192
14	6193
15	6194
16	6195
17	6196
18	6197
19	6198
20	6199
21	6200
22	6201
23	6202
24	6203
25	6204
26	6205
30	6206
31	6207
32	6208
33	6209
34	6210
35	6211
36	6212
37	6213
38	6214
39	6215
40	6216
41	6217
42	6218
43	6219
44	6220
45	6221
47	6222
48	6223
49	6224
50	6225
51	6226
52	6227
54	6228
55	6229
56	6230
57	6231
58	6232
59	6233
60	6234
61	6235
63	6236
65	6237
66	6238
67	6239
68	6240
69	6241
70	6242
71	6243
72	6244
73	6245
74	6246
76	6247
77	6248
78	6249
79	6250
80	6251
81	6252
82	6253
83	6254
84	6255
85	6256
86	6257
87	6258
88	6259
89	6260
90	6261
92	6262
93	6263
94	6264
95	6265
96	6266
97	6267
98	6268
99	6269
100	6270
102	6271
103	6272
104	6273
105	6274
106	6275
107	6276
108	6277
109	6278
110	6279
111	6280
112	6281
113	6282
114	6283
115	6284
116	6285
117	6286
118	6287
120	6288
121	6289
122	6290
123	6291
124	6292
125	6293
126	6294
127	6295
128	6296
131	6297
132	6298
133	6299
135	6300
136	6301
137	6302
138	6303
139	6304
140	6305
141	6306
143	6307
144	6308
145	6309
146	6310
147	6311
148	6312
149	6313
150	6314
151	6315
152	6316
153	6317
154	6318
155	6319
156	6320
157	6321
158	6322
159	6323
160	6324
161	6325
162	6326
163	6327
164	6328
165	6329
166	6330
167	6331
168	6332
169	6333
170	6334
171	6335
172	6336
173	6337
174	6338
175	6339
176	6340
177	6341
178	6342
179	6343
180	6344
181	6345
182	6346
183	6347
185	6348
188	6349
189	6350
190	6351
191	6352
192	6353
193	6354
194	6355
195	6356
196	6357
197	6358
198	6359
200	6360
201	6361
202	6362
203	6363
204	6364
205	6365
206	6366
207	6367
208	6368
209	6369
210	6370
211	6371
212	6372
213	6373
214	6374
215	6375
216	6376
217	6377
219	6378
220	6379
221	6380
222	6381
223	6382
224	6383
225	6384
226	6385
227	6386
228	6387
229	6388
230	6389
231	6390
232	6391
233	6392
234	6393
235	6394
236	6395
237	6396
238	6397
240	6398
241	6399
245	6400
246	6401
247	6402
248	6403
249	6404
251	6405
252	6406
254	6407
257	6408
259	6409
260	6410
261	6411
262	6412
263	6413
264	6414
265	6415
266	6416
267	6417
268	6418
269	6419
271	6420
272	6421
273	6422
274	6423
275	6424
276	6425
277	6426
278	6427
279	6428
280	6429
281	6430
282	6431
283	6432
284	6433
286	6434
287	6435
288	6436
289	6437
290	6438
292	6439
293	6440
294	6441
295	6442
296	6443
298	6444
300	6445
301	6446
303	6447
304	6448
306	6449
307	6450
308	6451
309	6452
310	6453
312	6454
313	6455
314	6456
315	6457
316	6458
317	6459
318	6460
319	6461
320	6462
321	6463
322	6464
324	6465
326	6466
327	6467
328	6468
329	6469
330	6470
331	6471
332	6472
333	6473
334	6474
335	6475
336	6476
337	6477
338	6478
339	6479
340	6480
341	6481
342	6482
343	6483
344	6484
345	6485
347	6486
349	6487
351	6488
352	6489
353	6490
356	6491
357	6492
358	6493
360	6494
361	6495
362	6496
363	6497
364	6498
365	6499
366	6500
367	6501
368	6502
369	6503
370	6504
371	6505
372	6506
373	6507
374	6508
375	6509
377	6510
378	6511
379	6512
380	6513
381	6514
382	6515
383	6516
385	6517
386	6518
387	6519
388	6520
389	6521
390	6522
391	6523
393	6524
394	6525
395	6526
396	6527
397	6528
398	6529
400	6530
401	6531
402	6532
403	6533
405	6534
406	6535
407	6536
408	6537
409	6538
411	6539
412	6540
413	6541
414	6542
415	6543
416	6544
417	6545
418	6546
419	6547
421	6548
422	6549
425	6550
430	6551
431	6552
432	6553
433	6554
434	6555
435	6556
436	6557
438	6558
439	6559
440	6560
441	6561
442	6562
444	6563
446	6564
447	6565
450	6566
451	6567
452	6568
453	6569
454	6570
455	6571
456	6572
457	6573
458	6574
459	6575
460	6576
466	6577
468	6578
472	6579
473	6580
474	6581
475	6582
477	6583
478	6584
479	6585
482	6586
483	6587
484	6588
485	6589
486	6590
487	6591
488	6592
489	6593
494	6594
495	6595
497	6596
498	6597
499	6598
500	6599
501	6600
502	6601
503	6602
504	6603
505	6604
507	6605
508	6606
509	6607
510	6608
512	6609
513	6610
514	6611
515	6612
517	6613
520	6614
522	6615
525	6616
526	6617
527	6618
530	6619
531	6620
532	6621
533	6622
534	6623
535	6624
536	6625
537	6626
538	6627
539	6628
540	6629
541	6630
542	6631
544	6632
545	6633
546	6634
547	6635
548	6636
549	6637
550	6638
551	6639
552	6640
553	6641
554	6642
555	6643
556	6644
557	6645
558	6646
559	6647
560	6648
561	6649
562	6650
564	6651
565	6652
566	6653
567	6654
568	6655
570	6656
571	6657
573	6658
574	6659
575	6660
576	6661
578	6662
579	6663
580	6664
581	6665
582	6666
583	6667
584	6668
585	6669
586	6670
587	6671
589	6672
591	6673
592	6674
594	6675
595	6676
596	6677
597	6678
598	6679
599	6680
600	6681
601	6682
602	6683
603	6684
604	6685
605	6686
606	6687
607	6688
608	6689
609	6690
610	6691
612	6692
615	6693
616	6694
617	6695
618	6696
619	6697
620	6698
621	6699
622	6700
623	6701
624	6702
625	6703
626	6704
627	6705
628	6706
630	6707
631	6708
632	6709
634	6710
635	6711
636	6712
637	6713
638	6714
640	6715
641	6716
642	6717
643	6718
644	6719
645	6720
646	6721
648	6722
649	6723
652	6724
656	6725
657	6726
658	6727
659	6728
661	6729
662	6730
663	6731
665	6732
666	6733
667	6734
669	6735
670	6736
671	6737
672	6738
673	6739
674	6740
675	6741
676	6742
677	6743
678	6744
679	6745
680	6746
681	6747
682	6748
683	6749
684	6750
685	6751
686	6752
687	6753
688	6754
689	6755
690	6756
692	6757
696	6758
698	6759
699	6760
700	6761
701	6762
703	6763
705	6764
706	6765
707	6766
708	6767
710	6768
713	6769
718	6770
720	6771
721	6772
722	6773
723	6774
724	6775
725	6776
726	6777
727	6778
729	6779
730	6780
731	6781
732	6782
733	6783
734	6784
735	6785
736	6786
737	6787
738	6788
740	6789
741	6790
742	6791
743	6792
744	6793
745	6794
746	6795
747	6796
748	6797
751	6798
752	6799
753	6800
754	6801
755	6802
756	6803
757	6804
758	6805
760	6806
761	6807
762	6808
763	6809
764	6810
765	6811
766	6812
767	6813
768	6814
769	6815
770	6816
771	6817
772	6818
773	6819
774	6820
775	6821
776	6822
778	6823
779	6824
780	6825
781	6826
782	6827
783	6828
784	6829
785	6830
786	6831
787	6832
788	6833
789	6834
790	6835
791	6836
792	6837
793	6838
794	6839
795	6840
796	6841
797	6842
798	6843
799	6844
800	6845
801	6846
802	6847
803	6848
804	6849
805	6850
806	6851
807	6852
808	6853
810	6854
811	6855
812	6856
813	6857
814	6858
816	6859
817	6860
818	6861
819	6862
821	6863
822	6864
823	6865
824	6866
825	6867
826	6868
827	6869
828	6870
829	6871
830	6872
831	6873
832	6874
833	6875
834	6876
835	6877
836	6878
837	6879
839	6880
840	6881
842	6882
843	6883
844	6884
845	6885
846	6886
847	6887
848	6888
849	6889
851	6890
853	6891
854	6892
856	6893
858	6894
859	6895
860	6896
862	6897
863	6898
864	6899
865	6900
867	6901
868	6902
869	6903
871	6904
872	6905
874	6906
875	6907
876	6908
877	6909
878	6910
879	6911
880	6912
881	6913
882	6914
883	6915
884	6916
885	6917
886	6918
887	6919
888	6920
889	6921
890	6922
891	6923
892	6924
893	6925
895	6926
901	6927
903	6928
904	6929
905	6930
906	6931
907	6932
909	6933
911	6934
